SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,SAFE_DISTANCE
78,DC:A6:32:2C:42:BC,2020-07-14 20:02:30.063378,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-67,0
79,DC:A6:32:2C:42:BC,2020-07-14 20:02:31.193493,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-53,0
80,DC:A6:32:2C:42:BC,2020-07-14 20:02:32.634756,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-57,0
81,DC:A6:32:2C:42:BC,2020-07-14 20:02:33.399044,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-69,0
82,DC:A6:32:2C:42:BC,2020-07-14 20:02:34.102209,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-61,0
83,DC:A6:32:2C:42:BC,2020-07-14 20:02:35.053412,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-64,0
0,DC:A6:32:2C:42:BC,2020-07-14 22:42:26.410093,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-64,0
1,DC:A6:32:2C:42:BC,2020-07-14 22:42:27.143194,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-63,0
2,DC:A6:32:2C:42:BC,2020-07-14 22:42:29.147784,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-70,0
3,DC:A6:32:2C:42:BC,2020-07-14 22:42:30.251379,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-68,0
4,DC:A6:32:2C:42:BC,2020-07-14 22:42:31.101235,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-59,0
5,DC:A6:32:2C:42:BC,2020-07-14 22:42:32.188954,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-60,0
6,DC:A6:32:2C:42:BC,2020-07-14 22:42:33.559678,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-59,0
7,DC:A6:32:2C:42:BC,2020-07-14 22:42:34.098291,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-55,0
8,DC:A6:32:2C:42:BC,2020-07-14 22:42:35.068154,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-50,0
9,DC:A6:32:2C:42:BC,2020-07-14 22:42:37.072932,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-44,0
10,DC:A6:32:2C:42:BC,2020-07-14 22:42:38.150391,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-59,0
11,DC:A6:32:2C:42:BC,2020-07-14 22:42:39.226416,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-66,0
12,DC:A6:32:2C:42:BC,2020-07-14 22:42:41.231186,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-64,0
13,DC:A6:32:2C:42:BC,2020-07-14 22:42:42.484809,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-58,0
14,DC:A6:32:2C:42:BC,2020-07-14 22:42:43.056008,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-62,0
15,DC:A6:32:2C:42:BC,2020-07-14 22:42:44.394010,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-64,0
16,DC:A6:32:2C:42:BC,2020-07-14 22:42:45.119603,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-71,0
17,DC:A6:32:2C:42:BC,2020-07-14 22:42:47.121871,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-59,0
18,DC:A6:32:2C:42:BC,2020-07-14 22:42:49.121623,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-69,0
19,DC:A6:32:2C:42:BC,2020-07-14 22:42:51.026533,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-63,0
20,DC:A6:32:2C:42:BC,2020-07-14 22:42:53.031335,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-65,0
21,DC:A6:32:2C:42:BC,2020-07-14 22:42:54.434938,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-56,0
22,DC:A6:32:2C:42:BC,2020-07-14 22:42:55.007334,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-54,0
23,DC:A6:32:2C:42:BC,2020-07-14 22:42:57.012202,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-52,0
24,DC:A6:32:2C:42:BC,2020-07-14 22:42:58.749734,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-65,0
25,DC:A6:32:2C:42:BC,2020-07-14 22:42:59.014567,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-63,0
26,DC:A6:32:2C:42:BC,2020-07-14 22:43:01.005766,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-59,0
27,DC:A6:32:2C:42:BC,2020-07-14 22:43:03.010625,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-74,0
28,DC:A6:32:2C:42:BC,2020-07-14 22:43:04.414215,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-71,0
29,DC:A6:32:2C:42:BC,2020-07-14 22:43:05.045348,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-61,0
30,DC:A6:32:2C:42:BC,2020-07-14 22:43:06.159039,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-64,0
31,DC:A6:32:2C:42:BC,2020-07-14 22:43:07.391480,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-64,0
32,DC:A6:32:2C:42:BC,2020-07-14 22:43:08.183342,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-78,0
33,DC:A6:32:2C:42:BC,2020-07-14 22:43:09.015123,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-66,0
34,DC:A6:32:2C:42:BC,2020-07-14 22:43:11.019352,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-68,0
35,DC:A6:32:2C:42:BC,2020-07-14 22:43:12.658728,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-62,0
36,DC:A6:32:2C:42:BC,2020-07-14 22:43:13.266093,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-58,0
37,DC:A6:32:2C:42:BC,2020-07-14 22:43:14.098652,6b14b132-c65d-11ea-8d8d-dca6322c42bb,1,1,1,-55,0
